Europe Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
200907,1.17
200908,1.22
200909,1.27
200910,0.56
200911,2.06
200912,0.54
201001,-1.08
201002,0.14
201003,0.69
201004,1.23
201005,0.79
201006,1.06
201007,2.37
201008,1.71
201009,0.58
201010,-0.26
201011,1.26
201012,-1.37
201101,1.02
201102,-0.30
201103,0.97
201104,2.12
201105,1.17
201106,1.53
201107,1.00
201108,1.20
201109,1.93
201110,0.83
201111,0.77
201112,2.38
201201,1.27
201202,-2.19
201203,1.65
201204,1.10
201205,1.53
201206,1.28
201207,1.50
201208,1.59
201209,1.22
201210,1.22
201211,1.95
201212,-0.37
201301,0.89
201302,1.34
201303,-1.02
201304,0.87
201305,1.46
201306,1.26
201307,1.30
201308,1.47
201309,0.51
201310,1.31
201311,1.70
201312,1.44
201401,1.76
201402,3.20
201403,3.10
201404,2.08
201405,1.02
201406,0.76
201407,1.88
201408,1.20
201409,1.49
201410,1.62
201411,1.64
201412,1.66
201501,2.16
201502,1.97
201503,2.18
201504,1.11
201505,1.02
201506,0.67
201507,1.57
201508,1.87
201509,1.78
201510,0.65
201511,2.45
201512,3.12
201601,0.60
201602,3.72
201603,1.89
201604,1.90
201605,1.33
201606,1.74
201607,1.60
201608,1.40
201609,2.08
201610,0.41
201611,0.35
201612,0.83
201701,-0.06
201702,1.96
201703,2.88
201704,0.65
201705,1.01
201706,1.83
201707,1.17
201708,1.82
201709,1.11
201710,1.34
201711,1.05
201712,1.92
201801,2.64
201802,0.17
201803,-0.11
201804,3.00
201805,2.90
201806,1.89
201807,2.46
201808,2.48
201809,2.09
201810,1.87
201811,1.44
201812,1.59
201901,0.85
201902,2.96
201903,2.33
201904,1.56
201905,0.56
201906,2.92
201907,1.21
201908,1.89
201909,1.28
201910,1.86
201911,1.76
201912,2.75
202001,3.25
202002,3.86
202003,2.52
202004,1.48
202005,0.45
202006,1.96
202007,1.17
202008,2.04
202009,2.35
202010,2.18
202011,2.15
202012,2.46
202101,1.51
202102,1.64
202103,1.28
202104,0.33
202105,0.41
202106,2.37
202107,2.38
202108,1.11
202109,0.93
202110,0.95
202111,1.32
202112,0.86
202201,2.04
202202,3.13
202203,1.10
202204,0.79
202205,1.40
202206,2.52
202207,1.90
202208,2.82
